Date,Artists,Day,Showtime,Genre,Returning Act
4/7/19,Band105,Sun,8:00:00 PM,Americana,
4/12/19,Band370,Fri,9:00:00 PM,Americana,x
4/12/19,Band371,Fri,9:00:00 PM,Americana,
4/17/19,Band419,Wed,8:00:00 PM,Americana,
4/18/19,Band390,Thu,9:00:00 PM,Americana,
4/19/19,Band297,Fri,9:00:00 PM,Metal,
4/24/19,Band462,Wed,7:00:00 PM,Indie,
4/27/19,Band197,Sat,7:00:00 PM,hip hop,x
4/30/19,Band151,Tue,8:00:00 PM,indie,
5/1/19,Band148,Wed,8:00:00 PM,Roots/Rock,x
5/2/19,Band177,Thu,8:30:00 PM,indie,
5/3/19,Band409,Fri,9:00:00 PM,Indie,
5/4/19,Band202,Sat,8:00:00 PM,Americana,
5/8/19,Band471,Wed,8:00:00 PM,Indie,
5/9/19,Band312,Thu,8:00:00 PM,R&B/Soul,x
5/11/19,Band40,Sat,9:00:00 PM,Americana,
5/14/19,Band389,Tue,8:00:00 PM,Roots/Rock,x
5/16/19,Band179,Thu,7:00:00 PM,Americana,
5/17/19,Band134,Fri,7:30:00 PM,metal,
5/19/19,Band377,Sun,8:00:00 PM,indie,
5/21/19,Band176,Tue,6:30:00 PM,Punk,
5/23/19,Band360,Thu,9:00:00 PM,hip hop,
5/24/19,Band276,Fri,9:00:00 PM,Metal,x
5/31/19,Band394,Fri,9:00:00 PM,Indie,
6/2/19,Band3,Sun,7:00:00 PM,Roots/Rock,
6/4/19,Band285,Tue,8:00:00 PM,Roots/Rock,
6/7/19,Band259,Fri,9:00:00 PM,Electronic,
6/14/19,Band395,Fri,9:00:00 PM,Electronic,
6/21/19,Band335,Fri,9:00:00 PM,hip hop,x
6/23/19,Band72,Sun,8:00:00 PM,indie,
6/27/19,Band97,Thu,8:00:00 PM,Indie,
6/30/19,Band354,Sun,8:00:00 PM,Roots/Rock,
7/12/19,Band280,Fri,9:00:00 PM,Electronic,
7/18/19,Band81,Thu,8:00:00 PM,hip hop,x
7/18/19,Band191,Thu,8:00:00 PM,hip hop,
7/19/19,Band375,Fri,8:00:00 PM,Indie,
8/16/19,Band388,Fri,9:00:00 PM,Electronic,
8/27/19,Band301,Tue,7:30:00 PM,Indie,
8/28/19,Band417,Wed,7:15:00 PM,Indie,
9/6/19,Band378,Fri,12:30:00 PM,Indie,
9/8/19,Band61,Sun,8:00:00 PM,Roots/Rock,
9/12/19,Band374,Thu,8:00:00 PM,Indie,
9/13/19,Band357,Fri,9:00:00 PM,Indie,
9/15/19,Band56,Sun,8:00:00 PM,Indie,
9/17/19,Band408,Tue,8:00:00 PM,R&B/Soul,
9/19/19,Band382,Thu,8:00:00 PM,Americana,
9/21/19,Band65,Sat,10:00:00 PM,Electronic,
9/22/19,Band432,Sun,7:30:00 PM,Indie,
9/26/19,Band340,Thu,9:00:00 PM,Americana,x
9/29/19,Band416,Sun,8:00:00 PM,Indie,
9/30/19,Band150,Mon,8:00:00 PM,Indie,
10/3/19,Band457,Thu,8:00:00 PM,Folk,
10/4/19,Band355,Fri,9:00:00 PM,Indie,
10/6/19,Band216,Sun,8:00:00 PM,Indie,
10/7/19,Band384,Mon,8:00:00 PM,Indie,
10/8/19,Band459,Tue,8:00:00 PM,Indie,
10/11/19,Band455,Fri,8:00:00 PM,Metal,
10/12/19,Band243,Sat,9:00:00 PM,R&B/Soul,
10/13/19,Band363,Sun,6:30:00 PM,Metal,
10/18/19,Band1,Fri,8:00:00 PM,Indie,x
10/25/19,Band156,Fri,9:00:00 PM,Folk,
10/26/19,Band133,Sat,9:00:00 PM,Electronic,
11/1/19,Band345,Fri,9:00:00 PM,Metal,x
11/2/19,Band376,Sat,6:00:00 PM,Indie,x
11/3/19,Band289,Sun,7:00:00 PM,Metal, 
11/8/19,Band224,Fri,8:00:00 PM,Indie,x
11/9/19,Band405,Sat,8:00:00 PM,Indie,
11/12/19,Band442,Tue,8:00:00 PM,Electronic,
11/16/19,Band77,Sat,9:00:00 PM,Indie,
11/17/19,Band469,Sun,6:30:00 PM,Indie,
